127.0.0.1 - - [30/Mar/2017:20:47:04 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [30/Mar/2017:20:47:09 +0530] "GET /StudentsBankOfIndia/mainMenuDisplay.jsp HTTP/1.1" 200 41416
0:0:0:0:0:0:0:1 - - [30/Mar/2017:20:47:09 +0530] "GET /StudentsBankOfIndia/styles/mystyle.css HTTP/1.1" 200 166
0:0:0:0:0:0:0:1 - - [30/Mar/2017:20:47:09 +0530] "GET /StudentsBankOfIndia/styles/transaction.css HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [30/Mar/2017:20:47:09 +0530] "GET /StudentsBankOfIndia/images/sbi-card-elite.png HTTP/1.1" 200 102666
0:0:0:0:0:0:0:1 - - [30/Mar/2017:20:47:09 +0530] "GET /StudentsBankOfIndia/styles/footer.css HTTP/1.1" 200 1755
0:0:0:0:0:0:0:1 - - [30/Mar/2017:20:47:41 +0530] "GET /StudentsBankOfIndia/displayStatement.jsp?accountNo=101&dateFrom=2017-03-27&dateTo=2017-03-29&displayStmt= HTTP/1.1" 500 8054
0:0:0:0:0:0:0:1 - - [30/Mar/2017:20:49:04 +0530] "GET /StudentsBankOfIndia/mainMenuDisplay.jsp HTTP/1.1" 200 41416
0:0:0:0:0:0:0:1 - - [30/Mar/2017:20:49:04 +0530] "GET /StudentsBankOfIndia/styles/transaction.css HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [30/Mar/2017:20:49:35 +0530] "GET /StudentsBankOfIndia/displayStatement.jsp?accountNo=101&dateFrom=2017-03-27&dateTo=2017-03-29&displayStmt= HTTP/1.1" 200 3161
0:0:0:0:0:0:0:1 - - [30/Mar/2017:20:49:48 +0530] "GET /StudentsBankOfIndia/mainMenuDisplay.jsp HTTP/1.1" 200 41416
0:0:0:0:0:0:0:1 - - [30/Mar/2017:20:49:48 +0530] "GET /StudentsBankOfIndia/styles/transaction.css HTTP/1.1" 404 1078
